Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,Yes,No,,0,3,"Sonarpur, Kolkata",,,,3742 sqft,35 Lac,1,935.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,No,No,144 X 67.3,1,2,"Shibrampur, Shibrampur Mauza, Kolkata",3.00,,,9720 sqft,,0,,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,"Kanchrapara, Kolkata",,,,4500 sqft,1.20 Cr,1,2667.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,0,1,"Lake Town, Kolkata",,,,693 sqft,9 Lac,1,1299.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,3,"Barasat, Kolkata",,,,10080 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Sodepur, Kolkata",,,,5040 sqft,95 Lac,1,1885.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,2,"Howrah, Kolkata",1.00,,,1440 sqft,60 Lac,1,4166.00,Resale,Residential Land / Plot,
No,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,0,,"Sonarpur, Kolkata",1.00,,Freehold,1800 sqft,8 Lac,1,444.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Lease Deed,Yes,,,Yes,Yes,,0,3,"Sector 2 Salt Lake City, Kolkata",1.00,Main Road,Freehold,3600 sqft,,0,,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,,0,6,"Santoshpur, Kolkata",,,,72000 sqft,5 Cr,1,694.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,0,2,"Action Area 3, Kolkata",2.00,,Freehold,1440 sqft,26 Lac,1,1806.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,"Lake Town, Kolkata",,,,693 sqft,9 Lac,1,1299.00,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Will Deed,No,,,Yes,No,,8,,"Rajpur Sonarpur, Kolkata",1.00,,,2176 sqft,17.4 Lac,1,800.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,No,,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,3,"Kanchrapara Haringhata Road, Kolkata",1.00,,Freehold,1440 sqft,18 Lac,1,1250.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,1,6,"Habra, Kolkata",4.00,,Freehold,56170 sqft,3.90 Cr,1,695.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Nayabad, Kolkata",1.00,Main Road,Freehold,1800 sqft,50 Lac,1,2778.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Swimming Pool, Gymnasium, Park",No,No,56 X 45,7,4,"Rajarhat, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2520 sqft,56 Lac,1,2222.00,Resale,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30,10,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,2.4 Lac,1,326.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,"Park, Vaastu Compliant",No,0,4 X 4,7,5,"Baruipur, Kolkata",2.00,,,4 sqft,,0,,Resale,Residential Land / Plot,80 m
,,,,,,,,,,,,,,,,Yes,Yes,32 X 45,1,5,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,21 Lac,1,1458.00,New Property,Residential Land / Plot,33 m
,,,,,,,,,,,,,,,,No,No,,1,4,"Dankuni, Kolkata",,,,1080 sqft,30 Lac,1,2778.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,2,"Ramrajatala, Kolkata",,,,741 sqft,25 Lac,1,3374.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Gymnasium, Park, Banquet Hall, Kids Play Area",Yes,Yes,53.7 X 40.2,1,5,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,21 Lac,1,972.00,New Property,Residential Land / Plot,33 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Rash Behari Avenue, Kolkata",,,,1440 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 40.2,2,2,"Action Area 3, Kolkata",2.00,,Freehold,2160 sqft,35.4 Lac,1,1639.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,2,2,"Action Area 3, Kolkata",2.00,,Freehold,1440 sqft,25 Lac,1,1736.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,Yes,,2,4,"Nayabad, Kolkata",1.00,Garden/Park,Freehold,3600 sqft,1.25 Cr,1,3472.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,"Howrah, Kolkata",2.00,,,2880 sqft,24 Lac,1,833.00,Resale,Residential Land / Plot,4 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Barasat, Kolkata",1.00,,,1440 sqft,20 Lac,1,1389.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",No,No,45 X 32,5,Congo,"Action Area 3, Kolkata",4.00,"Garden/Park, Main Road",Freehold,1440 sqft,27 Lac,1,1875.00,New Property,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,Yes,32 X 37,1,2,"Ramchandrapur Narendrapur, Kolkata",2.00,Main Road,Freehold,1184 sqft,20 Lac,1,1689.00,Resale,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,,,,0,2,"Sonarpur, Kolkata",,,,2880 sqft,1 Cr,1,3473.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,Yes,24 X 30,12,,"Joka, Kolkata",1.00,Garden/Park,Freehold,720 sqft,2.8 Lac,1,382.00,New Property,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,No,1.95 X 738.46,0,4,"Nepalgange Julpia Road, Kolkata",4.00,Main Road,Freehold,1440 sqft,6 Lac,1,417.00,Resale,Residential Land / Plot,26 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Nayabad, Kolkata",,Main Road,Freehold,12960 sqft,50 Lac,1,386.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,"New Town, Kolkata",,,,1700 sqft,35 Lac,1,2059.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,1,,"New Town, Kolkata",1.00,Main Road,Co-operative Society,28800 sqft,,0,,Resale,Residential Land / Plot,40 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Action Area 3, Kolkata",1.00,,,1440 sqft,30 Lac,1,2083.00,Resale,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Park, Security",Yes,No,,56,,"Joka, Kolkata",3.00,,Co-operative Society,21780 sqft,,0,,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Action Area 3, Kolkata",2.00,,,720 sqft,14 Lac,1,1944.00,Resale,Residential Land / Plot,8 m
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Lease Deed,Yes,Water Board,,Yes,No,,0,4,"Baruipur, Kolkata",2.00,,,4320 sqft,27 Lac,1,625.00,Resale,Residential Land / Plot,5 m
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,No,0,,6,,"Bandel Chinsurah, Kolkata",3.00,,Freehold,7335 sqft,88 Lac,1,1200.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,6,1,"Chakdaha, Kolkata",,,,6480 sqft,1.35 Cr,1,2083.00,Resale,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Baruipur Station Road, Kolkata",,,,2160 sqft,30 Lac,1,1389.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 32,7,3,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,28 Lac,1,1944.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Baruipur Station Road, Kolkata",,,Freehold,2160 sqft,30 Lac,1,1389.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,7,,"Jagatdal, Kolkata",,Main Road,Freehold,1935 sqft,20 Lac,1,1034.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,2,Kolkata,,,,15120 sqft,3.25 Cr,1,2149.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 80,4,3,"Action Area 3, Kolkata",4.00,"Garden/Park, Main Road",Freehold,3600 sqft,36 Lac,1,1000.00,New Property,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,Yes,No,,0,4,"New Garia, Garia, Kolkata",,,Freehold,32400 sqft,1.25 Cr,1,386.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,1,1,"Chandannagar, Hooghly-Chinsurah, Kolkata",,,,3402 sqft,25 Lac,1,735.00,Resale,Residential Land / Plot,
No,Yes,Yes,Electricity Board,No,Yes,,Yes,On Highway,No,,Yes,Sale Deed,No,,,Yes,Yes,,0,5,"Bauria Howrah, Kolkata",4.00,,,12000 sqft,70 Lac,1,583.00,Resale,Residential Land / Plot,300 m
,,,,,,,,,,,,,,,,No,No,,0,3,"Hooghly, Kolkata",,,,1440 sqft,14 Lac,1,972.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,3,9,"Action Area 1, Kolkata",2.00,Main Road,Co-operative Society,15120 sqft,,0,,Resale,Residential Land / Plot,40 m
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,3,2,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,25.5 Lac,1,1771.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",No,No,45 X 32,4,Congo,"Action Area 3, Kolkata",4.00,"Garden/Park, Main Road",Freehold,1440 sqft,26 Lac,1,1806.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,No,No,,0,,"Bhattanagar, Kolkata",1.00,,,27 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,0,1,Kolkata,1.00,,Freehold,4800 sqft,35 Lac,1,729.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Andul Road, Kolkata",1.00,,,3600 sqft,40 Lac,1,1111.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,7,5,"Nimta, Kolkata",,,,6000 sqft,1.60 Cr,1,2667.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,6708 X 0.54,6,1,"Phool Bagan Kankurgachi, Kolkata",2.00,Main Road,Freehold,3600 sqft,,0,,Resale,Residential Land / Plot,30 m
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Gift Deed,No,,,Yes,No,,1,,Kolkata,4.00,,Freehold,3600 sqft,50 Lac,1,1389.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,6708 X 0.54,6,1,"Bangur, Lake Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,3600 sqft,,0,,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,,,,0,4,"Khariberia, Kolkata",,,,2160 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Gift Deed,Yes,Water Board,,Yes,No,,6,,"Sonarpur, Kolkata",,,Freehold,1440 sqft,28 Lac,1,1945.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 32,5,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,4 Lac,1,278.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,,,,2,,"Muragachha, Kolkata",,,,28800 sqft,4 Cr,1,743.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,,Yes,Sale Deed,Yes,,,Yes,Yes,199.8 X 50.45,1,1,"Bakkhali, Kolkata",1.00,Main Road,Freehold,10080 sqft,1.80 Cr,1,1786.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,,1,Congo,"Thakurpukur Bazar, Kolkata",1.00,,Freehold,2160 sqft,19 Lac,1,880.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Nimta, Kolkata",3.00,,Freehold,21600 sqft,,0,,Resale,Residential Land / Plot,3 m
Yes,No,No,,Yes,No,,Yes,Mud Road,No,,Yes,Sale Deed,No,,,No,No,42 X 25,0,2,"Kalua, Joka, Kolkata",1.00,,,1080 sqft,7.5 Lac,1,694.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 48,5,3,"Joka, Kolkata",3.00,"Garden/Park, Main Road",Freehold,2160 sqft,3.7 Lac,1,171.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking, Security",No,Yes,40 X 45,19,,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,727 sqft,2.4 Lac,1,323.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,1,4,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Co-operative Society,3600 sqft,23 Lac,1,639.00,Resale,Residential Land / Plot,13 m
Yes,Yes,No,,Yes,No,,Yes,Mud Road,No,,Yes,,No,,,Yes,No,40 X 52.5,1,5,"Salt Lake City, Kolkata",4.00,"Garden/Park, Main Road",Freehold,2100 sqft,75 Lac,1,3571.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,No,240 X 240,0,15,"Joka, Kolkata",1.00,,,28800 sqft,,0,,Resale,Residential Land / Plot,40 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Amtala, Diamond Harbour Road, Kolkata",,,,4320 sqft,36 Lac,1,833.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,,Yes,Borewell,,Yes,No,,0,4,"New Town, Kolkata",4.00,,Freehold,2880 sqft,1.50 Cr,1,5209.00,Resale,Residential Land / Plot,5 m
Yes,Yes,Yes,,No,Yes,Yes,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,1,"Sarsuna, Kolkata",,,Freehold,414000 sqft,,0,,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Kasba, Kolkata",,,,2160 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,268 X 34.9,0,10,"Elgin, Kolkata",4.00,Main Road,Freehold,9361 sqft,,0,,Resale,Residential Land / Plot,8001 m
,,,,,,,,,,,,,,,,Yes,No,,2,4,"Narendrapur Rajpur Sonarpur, Kolkata",,,,3600 sqft,65 Lac,1,1806.00,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,3,,"Kabardanga, Kolkata",1.00,,Freehold,1440 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Mud Road,Yes,,Yes,Sale Deed,Yes,Water Board,,No,No,43.99 X 24.55,0,,Kolkata,3.00,,,1080 sqft,7 Lac,1,648.00,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,Yes,No,,0,1,"Action Area 1, Kolkata",,,,3229 sqft,3.50 Cr,1,10838.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,80.8 X 35.7,0,5,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2880 sqft,32 Lac,1,1111.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Birati, Kolkata",,,,4083 sqft,60 Lac,1,1470.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 48,5,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,3.8 Lac,1,176.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,Yes,,3,2,"Sankrail, Howrah, Kolkata",,,,14400 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 48,5,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2160 sqft,6 Lac,1,278.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,No,,3,3,"Bauria Howrah, Kolkata",,,,3600 sqft,35 Lac,1,972.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Barasat, Kolkata",4.00,,Freehold,11520 sqft,,0,,New Property,Residential Land / Plot,33 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Basirhat, Kolkata",,,,288000 sqft,20 Cr,1,694.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,3,"Basirhat, Kolkata",,,,201600 sqft,32 Cr,1,1587.00,Resale,Residential Land / Plot,
Yes,Yes,No,,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,No,No,60 X 46.67,4,,"Makhla, Uttarpara Kotrung, Kolkata",3.00,,Freehold,2800 sqft,40 Lac,1,1429.00,Resale,Residential Land / Plot,3 m
,,,,,,,,,,,,,,,,,No,,1,3,"Sodepur, Kolkata",4.00,,,1440 sqft,10.5 Lac,1,729.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,18 X 40,0,3,"Action Area 3, Kolkata",2.00,Main Road,Freehold,720 sqft,13.5 Lac,1,1875.00,New Property,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,No,No,,1,,"Rishra, Kolkata",2.00,,Freehold,5500 sqft,55 Lac,1,1000.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Sale Deed,Yes,,,Yes,No,,2,,"Shyam Nagar, Kolkata",,,,1170 sqft,12 Lac,1,1026.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,"Rajarhat, Kolkata",,,,1440 sqft,38 Lac,1,2639.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,53.7 X 53.7,0,4,"Rajarhat, Kolkata",2.00,"Garden/Park, Main Road",Freehold,2880 sqft,90 Lac,1,3125.00,New Property,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,38 X 28,0,,"Nayabad, Kolkata",2.00,Main Road,Freehold,1080 sqft,42 Lac,1,3889.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,0,45 X 40,6,3,"Joka, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1800 sqft,5 Lac,1,278.00,New Property,Residential Land / Plot,7 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Bansdroni, Kolkata",,,,1800 sqft,20 Lac,1,1111.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Swimming Pool, Park, Security, Kids Play Area, Rentable Community Space",No,Yes,48 X 30,3,3,"Joka, Kolkata",3.00,Garden/Park,Freehold,1440 sqft,4.6 Lac,1,319.00,Resale,Residential Land / Plot,18 m
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Khardaha, Kolkata",,,,1440 sqft,25 Lac,1,1736.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,Yes,,0,3,"Subhasgram, Kolkata",,,,1440 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,,Kolkata,,,,2000 sqft,65 Lac,1,3250.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,6,"Kona Expressway, Kolkata",,,,43200 sqft,9.60 Cr,1,2222.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,2,2,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,26.5 Lac,1,1840.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,,No,,,0,3,"Baruipur, Kolkata",,,,3600 sqft,,0,,Resale,Residential Land / Plot,2 m
,,,,,,,,,,,,,,,,Yes,Yes,18 X 40,4,3,"Lauhati, Kolkata",2.00,Main Road,Freehold,720 sqft,12 Lac,1,1667.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,Yes,36 X 40,3,3,"Lauhati, Kolkata",2.00,Main Road,Freehold,1440 sqft,24.5 Lac,1,1701.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,No,1.88 X 1181,0,1,"Paschim Chowbaga, Kolkata",,,,2160 sqft,40.5 Lac,1,1875.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,1,,"Action Area 2, Kolkata",1.00,,Freehold,3228 sqft,,0,,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,23 X 31.35,13,,"Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1450 sqft,5 Lac,1,345.00,New Property,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,No,No,,0,,Kolkata,2.00,,,20160 sqft,,0,,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Other,Yes,Water Board,,No,No,,6,,"Thakurpukur, Kolkata",4.00,,Freehold,1514 sqft,29 Lac,1,1915.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,2,2,"New Town, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,25.5 Lac,1,1771.00,New Property,Residential Land / Plot,15 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,53.7 X 26.8,24,2,"Action Area 3, Kolkata",2.00,"Garden/Park, Main Road",Freehold,1440 sqft,25.5 Lac,1,1771.00,New Property,Residential Land / Plot,15 m
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,No,No,,0,,"Uluberia, Howrah, Kolkata",1.00,,,38880 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,,,,0,,"Chandannagar, Hooghly-Chinsurah, Kolkata",,Garden/Park,,1200 sqft,,0,,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,1,2,"Birati, Kolkata",,,,1200 sqft,13 Lac,1,1083.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Khardaha, Kolkata",,,,4320 sqft,30 Lac,1,694.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,2,1,"Konnagar, Kolkata",,,,2160 sqft,15.5 Lac,1,718.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,1,5,"Action Area 3, Kolkata",,,Freehold,1600 sqft,11 Lac,1,688.00,Resale,Residential Land / Plot,20 m
,,,,,,,,,,,,,,,,,No,,12,,"Birati, Kolkata",4.00,,,2880 sqft,15 Lac,1,521.00,Resale,Residential Land / Plot,
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,No,No,,0,1,"Domjur, Howrah, Kolkata",1.00,,,1440 sqft,12 Lac,1,833.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Garia, Kolkata",2.00,Main Road,Freehold,12960 sqft,38 Lac,1,293.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,30 X 24,3,3,"Joka, Kolkata",4.00,"Garden/Park, Main Road",Freehold,720 sqft,1 Lac,1,139.00,New Property,Residential Land / Plot,8 m
,,,,,,,,,,,,,,,,No,No,30 X 25,1,,"New Town, Kolkata",1.00,Main Road,Freehold,1620 sqft,95 Lac,1,5864.00,Resale,Residential Land / Plot,13 m
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,32 X 45,5,3,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1440 sqft,24.6 Lac,1,1708.00,New Property,Residential Land / Plot,9 m
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,"Bhowanipore, Kolkata",,,,3470 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,,No,No,,0,5,"South 24 Parganas, Kolkata",,,,4900 sqft,15 Lac,1,306.00,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,32 X 45,6,3,"Action Area 3, Kolkata",1.00,"Garden/Park, Main Road",Freehold,1440 sqft,25.2 Lac,1,1750.00,New Property,Residential Land / Plot,10 m
No,No,No,,No,Yes,,Yes,Pucca Road,Yes,Open,Yes,Gift Deed,No,,,Yes,No,,2,3,"Belghoria, Kolkata",2.00,,Freehold,900 sqft,34 Lac,1,3778.00,Resale,Residential Land / Plot,3 m
